uuid,human_written_content,aigenerated_content,model,num_completion_token,num_original_token,num_prompt_token,num_iagenerated_token,original_label,source_type,ai_generated_label,article_type,pre_post_GPT,dataset_source,GPT-3.5 NLI,GPT_NLI_plus_ai_label,AlignScore,BERTScore_Precision,BERTScore_Recall,BERTScore_F1,Semantic_Distance,Prompt,Prompt Veracity,factual_consistency,GPT_NLI_plus_ai_label_cleaned
b2d6b01e-0d47-49d8-8e1b-96e7c84bc5b2,scientists have found that four young males who experienced severe cases of covid-19 in netherlands had rare mutations in same gene on their x chromosome. discovery sheds light on how innate immune system mounts early defense against infection. all data and statistics are based on publicly available data at time of publication. some information may be out of date. visit our coronavirus hub and follow our live updates page for most recent information on covid-1. ,"Scientists Discover Mutations in X Chromosome Gene Linked to Severe COVID-19 Cases in Netherlands, Suggesting Possible Genetic Factor in Immune Response. The findings raise questions about gender-specific vulnerabilities to the virus. Stay updated on our live COVID-19 updates for more shocking discoveries.",gpt-3.5-turbo-0125,57,80,204,261,real,AI Machine,fake,news article,pre-GPT,CoAID,entailment,entailment_fake,0.119593687,0.874914408,0.850173414,0.862366438,0.174771249,Minor,Minor fake,consistent,entailment_fake
42884c9f-2580-405c-b5c0-595f59042de4,"""@SaudiMOH @SaudiMOH937 When can we expect the test result done on June 6th in Malaz mass testing centre? ÙØªÙ ÙÙÙÙÙØ§ Ø£Ù ÙØªÙÙØ¹ ÙØªÙØ¬Ø© Ø§ÙØ§Ø®ØªØ¨Ø§Ø± ÙÙ 6 ÙÙÙÙÙ ÙÙ ÙØ±ÙØ² Ø§ÙÙÙØ² ÙÙØ§Ø®ØªØ¨Ø§Ø±Ø§Øª Ø§ÙØ¬ÙØ§Ø¹ÙØ©Ø""","BREAKING: Saudi Ministry of Health under fire as test results from Malaz mass testing center on June 6th delayed indefinitely, causing panic among residents. ð± #SaudiMOH #TestResultDelay ð¨",gpt-3.5-turbo-0125,44,37,213,257,real,AI Machine,fake,twitter post,pre-GPT,CoAID,entailment,entailment_fake,0.024323497,0.875869215,0.75206852,0.809261441,0.35230124,Major,Major fake,consistent,entailment_fake
cfa2a920-9c24-4720-8b9d-8be2ab20a77e,"""When you put people up on a pedestal, the only thing they can do is look down. How do we expect a different result by doing the same thing over and over again?""",Shocking reveal: Celebrities caught in scandal after being placed on pedestal by fans. How long until the truth comes out? Time to rethink idolizing behavior. #ScandalAlert,gpt-3.5-turbo-0125,36,38,160,196,real,AI Machine,fake,twitter post,pre-GPT,CoAID,entailment,entailment_fake,0.140581712,0.854314208,0.848066509,0.851178885,0.714562953,Critical,Critical fake,consistent,entailment_fake
4488ca16-cc2f-47ba-b671-f4181b72a22e,a new poll found that 58 percent of respondents say the u.s. will move too quickly to reopen while 32 percent say it will take too long to loosen restrictions. regardless of attitudes on reopening it remains to be seen how relaunching the economy will go from a public health standpoint. experts say that as people interact more cases will go up but its unclear if there will be another surge in cases. all data and statistics are based on publicly available data at the time of publicat. ,"A recent survey revealed that 58% of participants believe the U.S. will reopen too swiftly, while 32% feel restrictions will be lifted too slowly. The uncertainty persists on the repercussions of restarting the economy on public health. Experts predict a rise in cases as social interactions increase, but the possibility of a new wave remains uncertain. All information is sourced from publicly accessible data at the time of reporting.",gpt-3.5-turbo-0125,81,92,210,291,real,AI Machine,real,news article,pre-GPT,CoAID,not-entailment,not-entailment_real,0.973365307,0.931959391,0.914141178,0.922964334,0.135100901,Minor,Minor real,consistent,entailment_real
d51996ba-8118-42f0-98c9-e87d0791a7ea,"""According to WHO: Drinking alcohol does not protect you against COVID-19 and can be dangerous Frequent or excessive alcohol consumption can increase your risk of health problems #covid19 #awarenesscampaign #pandemic #stayhomestaystrong #stayhome #staysafe""","""WHO warns against drinking alcohol as protection from COVID-19. Excessive consumption can be harmful and increase health risks. Stay informed and stay safe! #covid19 #awareness #health""",gpt-3.5-turbo-0125,40,42,164,204,real,AI Machine,real,twitter post,pre-GPT,CoAID,not-entailment,not-entailment_real,0.682396889,0.928966701,0.895583749,0.911969841,0.113325179,Minor,Minor real,consistent,entailment_real
11c2405d-0d6e-47e9-af42-0fafe7676795,"""Yeah i mean this scenario is totally hypothetical but imo these might be the result What do you think?""","""I believe this scenario is purely hypothetical. What are your thoughts on the potential outcomes?""",gpt-3.5-turbo-0125,17,22,127,144,real,AI Machine,real,twitter post,pre-GPT,CoAID,not-entailment,not-entailment_real,0.923241019,0.918438196,0.889454722,0.90371412,0.134740591,Minor,Minor real,consistent,entailment_real
8ab93347-4dd9-4223-b471-79d41595f23f,"""Again, what percentage do we need to be infected to reach herd immunity and what is the mortality rate according to you?""","""What percentage of the population needs to be infected to achieve herd immunity? And what is your estimate of the mortality rate?""",gpt-3.5-turbo-0125,24,26,131,155,real,AI Machine,real,twitter post,pre-GPT,CoAID,not-entailment,not-entailment_real,0.809332252,0.953384399,0.951335967,0.95235908,0.033730984,Minor,Minor real,consistent,entailment_real
3744dfec-100e-472c-a74c-4e9ffad4e691,"""FACT: Spraying or introducing bleach or another disinfectant into your body WILL NOT protect you against COVID-19 and can be dangerous. Stay updated with correct ways to stay safe. #LiveUpDenim #COVID19 #StayHome #StaySafe""","""Reminder: Using bleach or disinfectant on your body won't protect you from COVID-19. Stay informed on safe prevention methods. #LiveUpDenim #StaySafe""",gpt-3.5-turbo-0125,37,42,159,196,real,AI Machine,real,twitter post,pre-GPT,CoAID,not-entailment,not-entailment_real,0.9524436,0.940273464,0.923181176,0.93164897,0.054500639,Minor,Minor real,consistent,entailment_real
12e26f0c-e530-44df-9cfd-731faf8a7dc5,all data and statistics are based on publicly available data at time of publication. some information may be out of date. visit our coronavirus hub and follow our live updates page for most recent information on covid-19 pandemic. as cases of covid-19 continue to rise search for effective vaccine against disease continues. recent report provides encouraging results for vaccine candidate under development in russia but there are still no data showing that any vaccin. ,"Publicly available data at the time of publication shows a search for an effective COVID-19 vaccine as cases continue to rise. A recent report from Russia offers promising results for a vaccine candidate under development. However, no data yet confirm the effectiveness of any vaccine.",gpt-3.5-turbo-0125,52,79,196,248,real,AI Machine,real,news article,pre-GPT,CoAID,not-entailment,not-entailment_real,0.979681551,0.910929263,0.868107617,0.889003098,0.112685144,Minor,Minor real,consistent,entailment_real
15ab08de-4a59-4314-8a2a-f97306ee9ff9,"""And they have almost the same numbers. What is your point? Mine is that a) Michigan has a much larger percentage of African Americans (23% vs. 6%) (ask @FatEmperor about skin pigmentation &amp; Vitamin D serology levels) and b) The infection is ending in Michigan. Not in Sweden. ""","Michigan and Sweden have similar case numbers. Michigan has a higher African American population at 23% compared to Sweden's 6%. Michigan's infection rate is declining, unlike Sweden's. Connect with @FatEmperor for insights on skin pigmentation and Vitamin D levels.",gpt-3.5-turbo-0125,54,64,156,210,real,AI Machine,real,twitter post,pre-GPT,CoAID,not-entailment,not-entailment_real,0.74710852,0.90205336,0.87234348,0.88694966,0.13689208,Major,Major real,consistent,entailment_real
